Mountain,Filename,Total_Distance_km,Elevation_Gain_m,Min_Elevation_m,Max_Elevation_m,Average_Slope_%,Max_Slope_%,Estimated_Time_hrs,Start_Lat,Start_Lon,End_Lat,End_Lon,join_key,산이름,높이_m,소재지,봄추천,여름추천,가을추천,겨울추천,봄_포인트,여름_포인트,가을_포인트,겨울_포인트,단풍절정시기,기상청단풍확인,겨울난이도(★기준),입문자추천,케이블카·곤돌라,대중교통접근,메모,Score_Endurance,Score_Joint_Strain,Score_Total_Difficulty,PeakFit_Tags,Cluster_ID,Persona_Type,Persona_Tags
가리산,가리산_0000000001.gpx,3.38,59.16,375.38,929.73,21.61,100.38,0,37.879128,127.967446,37.864537,127.983319,가리산,,,,,,,,,,,,,,,,,,,7.5,9.2,8.4,#산책같은코스 #관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
가리산,가리산_0000000002.gpx,6.75,759.99,368.35,1037.39,24.98,337.76,0,37.864428,127.984191,37.868292,127.971856,가리산,,,,,,,,,,,,,,,,,,,26.9,13.3,20.1,#산책같은코스 #관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
가리왕산,가리왕산_0000000001.gpx,10.31,1160.58,436.08,1596.6,28.21,579.95,0,37.487309,128.583265,37.426318,128.57036,가리왕산,가리왕산,1561.0,강원 정선,X,O,O,O,-,청정 원시림,단풍,설경,-,X,★★★,X,X,X,희귀식물 자생지,40.9,17.4,29.2,#관절보호,0,유형 C (풍경맛집/장거리),#케이블카찬스 #풍경맛집 #인생샷
가리왕산,가리왕산_0000000002.gpx,11.04,951.13,899.87,1589.97,18.1,119.22,0,37.466601,128.53833,37.463691,128.523798,가리왕산,가리왕산,1561.0,강원 정선,X,O,O,O,-,청정 원시림,단풍,설경,-,X,★★★,X,X,X,희귀식물 자생지,38.1,8.3,23.2,#관절보호,0,유형 C (풍경맛집/장거리),#케이블카찬스 #풍경맛집 #인생샷
가야산,가야산_0000000001.gpx,5.41,1182.01,561.62,1416.91,38.44,380.86,0,35.793714,128.094273,35.822969,128.120127,가야산,가야산(충남),678.0,충남 예산·서산,O,O,O,X,봄꽃,숲길,단풍,-,-,X,★☆☆,O,X,X,덕산온천 연계,32.6,18.1,25.4,#관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
가야산,가야산_0000000001.gpx,5.41,1182.01,561.62,1416.91,38.44,380.86,0,35.793714,128.094273,35.822969,128.120127,가야산,가야산(경남),1430.0,경남 합천·거창·경북 성주,O,O,O,O,봄꽃,해인사 계곡,단풍(홍류동),설경,-,X,★★☆,X,X,X,해인사 팔만대장경,32.6,18.1,25.4,#관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
가야산,가야산_0000000002.gpx,2.53,741.34,512.14,1073.27,44.3,181.35,0,35.770004,128.113924,35.772791,128.095718,가야산,가야산(충남),678.0,충남 예산·서산,O,O,O,X,봄꽃,숲길,단풍,-,-,X,★☆☆,O,X,X,덕산온천 연계,19.1,17.3,18.2,#산책같은코스 #관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
가야산,가야산_0000000002.gpx,2.53,741.34,512.14,1073.27,44.3,181.35,0,35.770004,128.113924,35.772791,128.095718,가야산,가야산(경남),1430.0,경남 합천·거창·경북 성주,O,O,O,O,봄꽃,해인사 계곡,단풍(홍류동),설경,-,X,★★☆,X,X,X,해인사 팔만대장경,19.1,17.3,18.2,#산책같은코스 #관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
가야산,가야산_0000000003.gpx,7.18,1339.16,552.46,1180.35,49.52,635.07,0,35.801376,128.142292,35.804106,128.141577,가야산,가야산(충남),678.0,충남 예산·서산,O,O,O,X,봄꽃,숲길,단풍,-,-,X,★☆☆,O,X,X,덕산온천 연계,38.8,24.9,31.8,#관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
가야산,가야산_0000000003.gpx,7.18,1339.16,552.46,1180.35,49.52,635.07,0,35.801376,128.142292,35.804106,128.141577,가야산,가야산(경남),1430.0,경남 합천·거창·경북 성주,O,O,O,O,봄꽃,해인사 계곡,단풍(홍류동),설경,-,X,★★☆,X,X,X,해인사 팔만대장경,38.8,24.9,31.8,#관절보호,1,유형 A (산책/인스타용),#가벼운발걸음 #오운완 #초보환영
