산이름,장소유형,장소명,카테고리,주소,전화번호,산으로부터거리(m),도보시간(분),장소위도,장소경도,카카오지도URL,블로그언급수,맛집점수
광교산,음식점,생각나는손칼국수,음식점 > 한식 > 국수 > 칼국수,경기 수원시 장안구 팔달로271번길 16-16,031-247-6615,189,3,37.28981650802604,127.01487267208707,http://place.map.kakao.com/1073189574,363178,100.0
광교산,음식점,살구나무집,"음식점 > 한식 > 육류,고기 > 오리",경기 수원시 장안구 팔달로 298-1,031-258-4400,97,1,37.29087042391974,127.01708554176295,http://place.map.kakao.com/13054530,73467,100.0
광교산,음식점,마포숯불갈비,"음식점 > 한식 > 육류,고기 > 갈비",경기 수원시 장안구 정조로922번길 36,031-251-0199,179,2,37.2908021955175,127.015251792629,http://place.map.kakao.com/12082922,86160,100.0
진악산,음식점,박장군갈비김치찌개,"음식점 > 한식 > 찌개,전골",충남 금산군 금산읍 비호로 83,041-754-8586,258,3,36.1066662572861,127.491722497072,http://place.map.kakao.com/1499904988,13789,100.0
진악산,음식점,금산아구찜,"음식점 > 한식 > 해물,생선 > 아구",충남 금산군 금산읍 금산로 1518,041-751-7942,357,5,36.1090100894847,127.490894151454,http://place.map.kakao.com/1281563761,577945,100.0
팔공산,음식점,고향정한식뷔페,음식점 > 뷔페 > 한식뷔페,대구 동구 팔공산로 1183,053-982-3885,435,6,35.9883431452816,128.694196140304,http://place.map.kakao.com/15576349,8204,99.1
두륜산,음식점,돌고래숯불구이,"음식점 > 한식 > 육류,고기",전남 해남군 삼산면 대흥사길 18,061-537-5066,295,4,34.501566498981504,126.6154064461612,http://place.map.kakao.com/25985684,6229,97.9
천마산,음식점,하우스베이커리,"음식점 > 간식 > 제과,베이커리",경기 양평군 서종면 북한강로 684,031-772-8333,69,1,37.5987926228055,127.353282392832,http://place.map.kakao.com/2043650820,6234,97.9
광교산,카페,투썸플레이스 수원북문점,음식점 > 카페 > 커피전문점 > 투썸플레이스,경기 수원시 장안구 팔달로 269,031-251-1123,265,4,37.28944267318028,127.01408769340175,http://place.map.kakao.com/1276509606,5237,97.2
천마산,음식점,황태국밥,음식점 > 한식 > 국밥,경기 양평군 서종면 북한강로 649,031-774-0733,344,5,37.5960032946304,127.350823346318,http://place.map.kakao.com/597241333,3868,95.9
광교산,음식점,장안부대찌개삼겹살,"음식점 > 한식 > 찌개,전골",경기 수원시 장안구 팔달로 304-1,031-245-3991,139,2,37.291179417320585,127.01751416162652,http://place.map.kakao.com/25538493,3292,95.2
두륜산,음식점,물레방아식당,음식점 > 한식 > 쌈밥,전남 해남군 삼산면 대흥사길 158-3,010-3616-6654,589,8,34.496768650573685,126.61702356968244,http://place.map.kakao.com/9774885,37158,95.0
거제 가라산,음식점,나는돼지국밥,음식점 > 한식 > 국밥,경남 거제시 동부면 거제남서로 3180,0507-1435-1891,997,13,34.83103442491311,128.60339007457884,http://place.map.kakao.com/2105138614,392464,95.0
천마산,음식점,문호리국밥집,음식점 > 한식 > 국밥,경기 양평군 서종면 내문호길 31,031-773-0240,740,10,37.6052396927234,127.354612970435,http://place.map.kakao.com/841101987,38906,95.0
천마산,음식점,여유있는국수집,음식점 > 한식 > 국수,경기 양평군 서종면 중미산로 18,031-775-7900,593,8,37.6039469840324,127.35424444596136,http://place.map.kakao.com/451819243,69310,95.0
가평 강씨봉,음식점,춘자네닭갈비막국수,"음식점 > 한식 > 육류,고기 > 닭요리",강원특별자치도 춘천시 남산면 서백길 27-3,033-263-1088,953,13,37.84305658785391,127.54686652777886,http://place.map.kakao.com/22374053,171353,95.0
화성 화산,음식점,이가네부대찌개,"음식점 > 한식 > 찌개,전골",경기 화성시 효행구 정남면 세자로 285-31,031-8059-9994,647,9,37.1913835618749,126.979109809469,http://place.map.kakao.com/1472610195,12253,95.0
가지산,음식점,후루룩메밀막국수,음식점 > 한식 > 국수,울산 울주군 상북면 석남로 556,052-254-0811,898,12,35.6174688004924,129.039708981491,http://place.map.kakao.com/1660392498,17645,95.0
천마산,음식점,뚜레쥬르 양평서종점,"음식점 > 간식 > 제과,베이커리 > 뚜레쥬르",경기 양평군 서종면 무내미길 46,031-772-7830,504,7,37.6033357236892,127.352570046609,http://place.map.kakao.com/26823707,8905,94.5
천마산,음식점,파리바게뜨 양평서종점,"음식점 > 간식 > 제과,베이커리 > 파리바게뜨",경기 양평군 서종면 북한강로 765,031-771-8234,810,11,37.6055580786781,127.349059633899,http://place.map.kakao.com/1429020760,8653,94.4
팔공산,음식점,송정 토종닭오리,"음식점 > 한식 > 육류,고기 > 오리",대구 동구 팔공산로199길 28-5,053-982-7999,447,6,35.9891654051034,128.695185026421,http://place.map.kakao.com/10553774,2757,94.4
화성 화산,카페,마롱브런치&베이커리카페,음식점 > 카페 > 테마카페 > 디저트카페,경기 화성시 효행구 정남면 세자로 251,0507-1340-3058,522,7,37.190293166753165,126.97843660574159,http://place.map.kakao.com/1386327715,7517,93.8
팔공산,음식점,소담,"음식점 > 한식 > 해물,생선",대구 동구 동화사2길 16,053-957-7092,691,9,35.9902001812989,128.698475927565,http://place.map.kakao.com/12962198,7404,93.7
광교산,음식점,장군할매순대국,음식점 > 한식 > 순대,경기 수원시 장안구 팔달로291번길 8,010-5848-4116,140,2,37.291028246506265,127.01607961474639,http://place.map.kakao.com/841050449,2222,93.5
팔공산,음식점,들꽃향식당,음식점 > 한식,대구 동구 팔공산로185길 27,053-984-8031,248,3,35.98952098433271,128.69272223813257,http://place.map.kakao.com/8947727,55988,93.0
광교산,음식점,북문가는길에한잔,음식점 > 술집,경기 수원시 장안구 팔달로279번길 7,031-252-9785,190,3,37.2901426861122,127.014854692327,http://place.map.kakao.com/1641844745,44931,93.0
